"state","Year","Week","Percent of Deaths Due to Pneumonia and Influenza","All Deaths","Number of Pneumonia and Influenza Deaths"
Washington,2014,21,6.04,944,57
Washington,2014,22,6.45,961,62
Washington,2014,23,7.34,967,71
Washington,2014,24,6.5,985,64
Washington,2014,25,6.71,939,63
Washington,2014,26,6.3,937,59
Washington,2014,27,7.67,952,73
Washington,2014,28,5.19,924,48
Washington,2014,29,5.6,911,51
Washington,2014,30,5.98,937,56
Washington,2014,31,6.87,961,66
Washington,2014,32,4.77,964,46
Washington,2014,33,5.81,946,55
Washington,2014,34,6.66,901,60
Washington,2014,35,6.33,996,63
Washington,2014,36,4.4,932,41
Washington,2014,37,4.26,938,40
Washington,2014,38,5.88,987,58
Washington,2014,39,5.92,929,55
Washington,2014,40,6.18,906,56
Washington,2014,41,6.65,1008,67
Washington,2014,42,7.49,1041,78
Washington,2014,43,5.8,966,56
Washington,2014,44,6.78,1017,69
Washington,2014,45,5.43,994,54
Washington,2014,46,8,1013,81
Washington,2014,47,7.53,1062,80
Washington,2014,48,7.64,1060,81
Washington,2014,49,7.83,1035,81
Washington,2014,50,6.41,1076,69
Washington,2014,51,8.16,1078,88
Washington,2014,52,9.47,1077,102
Washington,2014,53,8.73,1145,100
Washington,2015,01,11.23,1211,136
Washington,2015,02,13.85,1177,163
Washington,2015,03,11.23,1149,129
Washington,2015,04,11.42,1095,125
Washington,2015,05,9.2,1131,104
Washington,2015,06,10.42,1094,114
Washington,2015,07,8.63,1078,93
Washington,2015,08,8.03,1034,83
Washington,2015,09,7.97,1092,87
Washington,2015,10,7.44,1129,84
Washington,2015,11,8.69,1036,90
Washington,2015,12,8.82,1145,101
Washington,2015,13,5.08,1043,53
Washington,2015,14,8,1025,82
Washington,2015,15,7.31,1012,74
Washington,2015,16,6.7,1089,73
Washington,2015,17,6.95,1051,73
Washington,2015,18,7.74,1098,85
Washington,2015,19,7.82,1087,85
Washington,2015,20,8.39,989,83
Washington,2015,21,5.65,991,56
Washington,2015,22,8.08,1040,84
Washington,2015,23,6.62,1012,67
Washington,2015,24,5.84,1028,60
Washington,2015,25,5.32,996,53
Washington,2015,26,6.56,1006,66
Washington,2015,27,5.56,1007,56
Washington,2015,28,5.98,987,59
Washington,2015,29,7.09,987,70
Washington,2015,30,6.14,961,59
Washington,2015,31,5.97,988,59
Washington,2015,32,4.11,925,38
Washington,2015,33,5.89,984,58
Washington,2015,34,5.76,990,57
Washington,2015,35,5.39,1002,54
Washington,2015,36,5.7,1052,60
Washington,2015,37,6.91,970,67
Washington,2015,38,5.74,976,56
